我	10836313
都	10682438
你	9533554
係	9120871
唔	8503606
佢	8123091
，	7602965
好	6104936
咁	5642985
有	5395477
個	5148367
啦	5011465
就	4580794
到	4419261
左	4228058
人	4137758
既	3528291
又	3476842
撚	3314752
真係	3248311
？	3169852
要	3161660
得	3102110
同	3037659
會	3022576
嘅	2926564
想	2801022
黎	2570162
先	2541705
啲	2469248
比	2464178
可以	2410675
地	2370927
都係	2369450
做	2309276
去	2305550
講	2254491
但	2229834
自己	2222313
唔係	2173393
野	2169076
呢	2153723
睇	2123189
無	2098018
一	2005627
過	1982541
屌	1939987
咗	1936829
咩	1901588
冇	1898434
幾	1853664
呀	1783826
話	1749102
買	1673236
用	1635130
唔好	1631275
出	1592157
其實	1583153
多	1477380
香港	1467361
唔會	1463844
應該	1448557
打	1406575
返	1369164
d	1358223
仲	1356901
唔到	1349206
咪	1337029
覺得	1307517
狗	1302744
下	1290393
已經	1246389
玩	1227667
。	1226505
係咪	1224695
好多	1221472
隻	1218629
的	1203003
兩	1194955
好似	1189310
果	1187274
大	1185624
點	1178511
食	1122996
,	1110759
死	1096972
架	1092083
再	1082841
唔知	1078828
入	1065752
俾	1041055
未	999553
如果	991788
上	989237
仔	976647
了	971850
大家	951217
有冇	946229
不過	936890
叫	928289
完	910080
知	907086
就係	894744
班	882346
一個	876622
點解	866691
而家	853021
因為	838070
埋	835761
?	833398
洗	822359
住	819615
條	812883
對	808441
所以	806454
走	791507
囉	788469
搵	785769
呢個	783954
最	769256
開	759823
哂	754062
可能	740470
緊	738218
中	732847
夠	730153
場	726865
巴打	708980
幫	708760
波	707960
乜	702581
勁	692311
等	683719
鳩	671026
喎	670555
推	670258
都好	668723
問	658034
太	656109
之後	650950
諗	640675
仆街	637629
錢	633858
算	632191
識	622834
一定	620895
問題	618294
番	616039
仲有	604794
樓主	602535
連	597385
！	595737
依家	593667
啊	593400
日	592986
晒	591757
岩	588295
今日	578040
正	577903
事	572170
隊	564428
連登	561038
成日	558096
垃圾	552296
仲要	546816
定	540469
有無	539351
成	534959
：	531989
拎	529923
驚	529113
D	522052
見到	521677
之前	515053
見	512201
一齊	508878
邊	508213
喺	504060
加	503712
樣	497415
輸	497027
有人	496087
有咩	495385
女	495283
香港人	490874
咁多	490408
搞	487772
年	487601
屌你老母	484722
人地	483965
希望	482355
明	481981
當	480779
其他	476894
嚟	474057
笑	473203
贏	469932
開始	467440
一樣	466776
柒	466193
真	464999
但係	463699
聽	458073
邊個	456199
變	455098
快	452717
姐	449033
支那	448029
三	447336
喇	442458
高	437869
放	436571
以為	435484
為	434850
難	434830
換	434382
根本	433515
唔識	433392
位	428470
新	425768
車	425234
只係	424381
個個	420510
最後	417368
爆	416875
落	409845
原來	408849
次	408581
前	407424
支持	407231
差	404317
間	404121
時間	402429
少	394489
升	391353
而	387204
度	386618
同埋	385106
曬	381537
廢	377135
抽	375749
手足	375665
不	375362
完全	374471
訓	374390
似	373097
是	372197
分	371751
俾人	371459
幾多	370793
愛	370054
信	369498
起	369473
係咁	368552
拉	364702
踢	363814
台	361992
件	360291
都會	360185
著	359759
請	353539
收	352446
張	352071
轉	349267
被	346857
政府	345572
巴	345512
呢啲	344790
/	344081
靚	341417
唔同	340086
2	339846
賣	338505
繼續	335948
本身	335900
阿	335235
錯	335193
鍾意	330581
全部	328676
時	326627
水	324363
就算	323420
關	321307
嘢	321123
後	318637
行	317703
淨係	315914
龍	315871
3	309590
幾時	308939
整	308254
易	308097
朋友	307585
可	307372
以前	305884
開心	304953
個人	304657
扮	302763
睇下	302237
好好	299815
黃	297654
聽日	296841
生	295697
屋企	295041
計	294896
黑	293019
有啲	291512
學	289542
反	289392
牙	288736
馬	288547
跟	286540
之	284733
陣	284175
不如	283832
睇到	283571
有得	282414
依	281814
追	278459
嗰	278233
球	278132
冇人	277076
跌	277049
好過	276887
美國	276852
機	275671
豬	275104
套	274341
今次	273675
中國	273010
即係	272550
正常	272496
帶	271235
黑警	271115
由	268227
㗎	267872
咁樣	267255
送	266192
佢哋	264894
小	264501
西	264475
日日	264348
第一	262690
文	260665
月	260525
無人	260298
頭	259383
派	258903
敢	258412
日本	257820
角	257683
閪	256672
樓	255313
坐	254795
卡	254654
半	253853
公司	253315
揀	252871
片	252628
估	250994
句	250921
季	250846
理	249808
心	249228
哥	248769
集	248177
今晚	247706
少少	247565
大陸	247410
細	246400
肯	245974
炒	244942
留	244326
在	243815
教	242925
射	242336
飛	240551
一次	238879
直接	237933
幾好	237138
美	236921
成個	236182
、	235755
利	235441
手	235399
終於	235121
返工	234170
神	234122
又要	233593
做乜	233446
越	233188
鐘意	233047
字	233034
工	232588
雖然	232566
機會	231876
寫	231324
台灣	231061
今	230607
刷	229680
記得	227989
女人	226806
條女	226529
路	226468
種	226209
單	224814
.	224466
影	224258
